user,age,language,dialect,proficiency level,language to learn,dialect to learn,proficiency level so far,country,occupation,interests,match
user1,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,12
user2,50,Malay,Bangka,fluent,German,The Bavarian Dialect,intermediate,France,unemployed,tennis,9
user3,47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,13
user4,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,20
user5,41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,15
user6,22,Italian,Sicilian,fluent,English,standard,intermediate,US,engineer,science fiction,8
user7,35,French,Marseillais,intermediate,Korean,Jeju,novice,Spain,freelancer,granola,9
user8,29,German,Low German,novice,Korean,Chungcheong,novice,China,volunteer,classical,18
user9,40,Spanish,Llanito,native,English,standard,novice,Spain,teacher,typography,8
user10,32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,25
user11,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,25
user12,44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,24
user13,18,Japanese,Hiroshima Ben,novice,German,The Berlin Dialect,novice,Germany,artist,science fiction,8
user14,42,Malay,Bangka,intermediate,Spanish,standard,novice,Japan,teacher,baking,8
user15,25,French,Parisian,intermediate,Chinese,Wu,novice,Malaysia,teacher,kpop,1
user16,46,French,Parisian,novice,Italian,Venetian,novice,China,artist,cooking,1
user17,34,Japanese,Hakata Ben,native,English,British,intermediate,China,social worker,gymnastics,9
user18,25,English,Canadian,native,German,Low German,fluent,US,social worker,tennis,9
user19,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,20
user20,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,12
user21,21,English,Australian,native,Italian,Neapolitan,intermediate,Germany,volunteer,Asian Cuisine,9
user22,39,Spanish,Murcian,native,Italian,Sicilian,fluent,Spain,engineer,literature,8
user23,37,English,Australian,native,Spanish,Castilian,intermediate,US,freelancer,salad,9
user24,37,Spanish,Canarian,novice,Malay,Banjar,novice,Germany,teacher,reading,8
user25,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,16
user26,36,Japanese,Hokkaido Ben,native,French,standard,intermediate,Malaysia,artist,BBQ,9
user27,27,Korean,Jeju,native,French,Northern France,fluent,Japan,unemployed,reading,7
user28,38,Malay,Pahang,novice,Japanese,Kyoto Ben,novice,South Korea,social worker,r&b,9
user29,38,Chinese,Mandarin,fluent,Malay,Pontianak,novice,Malaysia,artist,r&b,9
user30,42,Japanese,Nagoya Ben,fluent,Korean,Gangwon,novice,Italy,engineer,jazz,9
