age1,language1,dialect1,proficiency level1,language to learn1,dialect to learn1,proficiency level so far1,country1,occupation1,interests1,age2,language2,dialect2,proficiency level2,language to learn2,dialect to learn2,proficiency level so far2,country2,occupation2,interests2,match
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,1
37,Spanish,Canarian,novice,Malay,Banjar,novice,Germany,teacher,reading,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,0
42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,1
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,1
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,1
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,20,Malay,Banjar,fluent,Spanish,Castilian,novice,China,teacher,volleyball,1
32,French,Meriodonal,novice,Korean,Gangwon,novice,Germany,writer,novel,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
34,French,Meriodonal,native,Korean,Jeolla,fluent,Japan,banker,boxing,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
44,Malay,Banjar,native,Italian,standard,native,France,artist,science fiction,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,1
41,Chinese,Wu,intermediate,German,The Bavarian Dialect,intermediate,Italy,unemployed,tennis,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,1
39,Italian,standard,intermediate,French,Parisian,novice,South Korea,freelancer,swimming,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,1
33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,33,Italian,standard,native,Malay,Bangkok,intermediate,Italy,unemployed,digital arts,1
47,German,The Berlin Dialect,native,English,British,fluent,Germany,social worker,cooking,47,Italian,Venetian,fluent,French,Meriodonal,intermediate,Germany,social worker,hiking,1
29,German,Low German,novice,Korean,Chungcheong,novice,China,volunteer,classical,42,Malay,Bangka,native,French,standard,fluent,Malaysia,teacher,golfing,1
